PROVINCIA,FallecidosFemenino_1ola
ABANCAY,57
ACOBAMBA,10
ACOMAYO,10
AIJA,0
ALTO AMAZONAS,94
AMBO,15
ANDAHUAYLAS,37
ANGARAES,20
ANTA,25
ANTABAMBA,1
ANTONIO RAIMONDI,3
AREQUIPA,1605
ASCOPE,199
ASUNCION,0
ATALAYA,18
AYABACA,29
AYMARAES,9
AZANGARO,19
BAGUA,92
BARRANCA,195
BELLAVISTA,25
BOLIVAR,1
BOLOGNESI,4
BONGARA,10
CAJABAMBA,17
CAJAMARCA,212
CAJATAMBO,31
CALCA,13
CALLAO,1627
CAMANA,41
CANAS,5
CANCHIS,42
CANDARAVE,0
CANGALLO,5
CANIETE,328
CANTA,14
CARABAYA,8
CARAVELI,26
CARHUAZ,19
CARLOS FERMIN FITZCARRALD,4
CASMA,42
CASTILLA,12
CASTROVIRREYNA,1
CAYLLOMA,82
CELENDIN,15
CHACHAPOYAS,15
CHANCHAMAYO,100
CHEPEN,111
CHICLAYO,1158
CHINCHA,433
CHINCHEROS,6
CHOTA,23
CHUCUITO,10
CHUMBIVILCAS,4
CHUPACA,23
CHURCAMPA,10
CONCEPCION,18
CONDESUYOS,5
CONDORCANQUI,19
CONTRALMIRANTE VILLAR,17
CONTUMAZA,7
CORONEL PORTILLO,481
CORONGO,1
COTABAMBAS,7
CUSCO,408
CUTERVO,15
DANIEL ALCIDES CARRION,16
DATEM DEL MARANION,19
DOS DE MAYO,6
EL COLLAO,19
EL DORADO,11
ESPINAR,13
FERRENIAFE,134
GENERAL SANCHEZ CERRO,4
GRAN CHIMU,10
GRAU,4
HUACAYBAMBA,1
HUALGAYOC,18
HUALLAGA,18
HUAMALIES,11
HUAMANGA,159
HUANCA SANCOS,1
HUANCABAMBA,28
HUANCANE,16
HUANCAVELICA,58
HUANCAYO,518
HUANTA,23
HUANUCO,214
HUARAL,201
HUARAZ,140
HUARI,6
HUARMEY,28
HUAROCHIRI,66
HUAURA,289
HUAYLAS,29
HUAYTARA,6
ICA,555
ILO,86
ISLAY,92
JAEN,122
JAUJA,36
JORGE BASADRE,5
JULCAN,2
JUNIN,10
LA CONVENCION,42
LA MAR,26
LA UNION,1
LAMAS,34
LAMBAYEQUE,287
LAMPA,13
LAURICOCHA,5
LEONCIO PRADO,105
LIMA,13140
LORETO,40
LUCANAS,16
LUYA,7
MANU,4
MARANION,7
MARISCAL CACERES,51
MARISCAL LUZURIAGA,4
MARISCAL NIETO,138
MARISCAL RAMON CASTILLA,23
MAYNAS,629
MELGAR,22
MOHO,8
MORROPON,189
MOYOBAMBA,60
NAZCA,93
OCROS,2
OTUZCO,31
OXAPAMPA,20
OYON,9
PACASMAYO,101
PACHITEA,11
PADRE ABAD,28
PAITA,195
PALLASCA,1
PALPA,20
PARINACOCHAS,6
PARURO,5
PASCO,77
PATAZ,14
PAUCAR DEL SARA SARA,4
PAUCARTAMBO,4
PICOTA,35
PISCO,183
PIURA,858
POMABAMBA,6
PUERTO INCA,5
PUNO,208
PURUS,0
PUTUMAYO,2
QUISPICANCHI,37
RECUAY,8
REQUENA,56
RIOJA,36
RODRIGUEZ DE MENDOZA,3
SAN ANTONIO DE PUTINA,6
SAN IGNACIO,25
SAN MARCOS,10
SAN MARTIN,189
SAN MIGUEL,9
SAN PABLO,1
SAN ROMAN,177
SANCHEZ CARRION,15
SANDIA,10
SANTA,547
SANTA CRUZ,6
SANTIAGO DE CHUCO,12
SATIPO,40
SECHURA,56
SIHUAS,3
SUCRE,5
SULLANA,420
TACNA,216
TAHUAMANU,9
TALARA,146
TAMBOPATA,101
TARATA,3
TARMA,43
TAYACAJA,18
TOCACHE,30
TRUJILLO,1010
TUMBES,193
UCAYALI,25
URUBAMBA,24
UTCUBAMBA,32
VICTOR FAJARDO,6
VILCAS HUAMAN,2
VIRU,62
YAROWILCA,2
YAULI,28
YAUYOS,9
YUNGAY,13
YUNGUYO,9
ZARUMILLA,40
