PROVINCIA,FallecidosMasculino_1ola
ABANCAY,81
ACOBAMBA,30
ACOMAYO,10
AIJA,2
ALTO AMAZONAS,151
AMBO,19
ANDAHUAYLAS,42
ANGARAES,39
ANTA,31
ANTABAMBA,3
ANTONIO RAIMONDI,1
AREQUIPA,2001
ASCOPE,273
ASUNCION,2
ATALAYA,25
AYABACA,57
AYMARAES,16
AZANGARO,35
BAGUA,166
BARRANCA,303
BELLAVISTA,48
BOLIVAR,0
BOLOGNESI,12
BONGARA,11
CAJABAMBA,38
CAJAMARCA,424
CAJATAMBO,11
CALCA,15
CALLAO,3376
CAMANA,30
CANAS,5
CANCHIS,62
CANDARAVE,5
CANGALLO,15
CANIETE,519
CANTA,18
CARABAYA,17
CARAVELI,18
CARHUAZ,19
CARLOS FERMIN FITZCARRALD,5
CASMA,79
CASTILLA,17
CASTROVIRREYNA,5
CAYLLOMA,66
CELENDIN,22
CHACHAPOYAS,41
CHANCHAMAYO,240
CHEPEN,220
CHICLAYO,1967
CHINCHA,758
CHINCHEROS,16
CHOTA,31
CHUCUITO,42
CHUMBIVILCAS,6
CHUPACA,70
CHURCAMPA,10
CONCEPCION,52
CONDESUYOS,7
CONDORCANQUI,49
CONTRALMIRANTE VILLAR,39
CONTUMAZA,14
CORONEL PORTILLO,920
CORONGO,1
COTABAMBAS,13
CUSCO,540
CUTERVO,36
DANIEL ALCIDES CARRION,18
DATEM DEL MARANION,46
DOS DE MAYO,13
EL COLLAO,46
EL DORADO,38
ESPINAR,25
FERRENIAFE,182
GENERAL SANCHEZ CERRO,13
GRAN CHIMU,18
GRAU,3
HUACAYBAMBA,4
HUALGAYOC,31
HUALLAGA,34
HUAMALIES,6
HUAMANGA,358
HUANCA SANCOS,2
HUANCABAMBA,58
HUANCANE,35
HUANCAVELICA,123
HUANCAYO,799
HUANTA,67
HUANUCO,332
HUARAL,416
HUARAZ,318
HUARI,28
HUARMEY,40
HUAROCHIRI,112
HUAURA,530
HUAYLAS,38
HUAYTARA,10
ICA,864
ILO,231
ISLAY,37
JAEN,311
JAUJA,65
JORGE BASADRE,10
JULCAN,4
JUNIN,16
LA CONVENCION,84
LA MAR,29
LA UNION,3
LAMAS,71
LAMBAYEQUE,469
LAMPA,17
LAURICOCHA,2
LEONCIO PRADO,175
LIMA,24091
LORETO,77
LUCANAS,24
LUYA,9
MANU,14
MARANION,4
MARISCAL CACERES,128
MARISCAL LUZURIAGA,5
MARISCAL NIETO,356
MARISCAL RAMON CASTILLA,63
MAYNAS,1318
MELGAR,32
MOHO,9
MORROPON,380
MOYOBAMBA,94
NAZCA,146
OCROS,6
OTUZCO,42
OXAPAMPA,34
OYON,14
PACASMAYO,192
PACHITEA,9
PADRE ABAD,57
PAITA,336
PALLASCA,10
PALPA,44
PARINACOCHAS,18
PARURO,9
PASCO,127
PATAZ,32
PAUCAR DEL SARA SARA,6
PAUCARTAMBO,4
PICOTA,54
PISCO,376
PIURA,1692
POMABAMBA,9
PUERTO INCA,16
PUNO,281
PURUS,2
PUTUMAYO,12
QUISPICANCHI,39
RECUAY,11
REQUENA,94
RIOJA,83
RODRIGUEZ DE MENDOZA,3
SAN ANTONIO DE PUTINA,13
SAN IGNACIO,60
SAN MARCOS,9
SAN MARTIN,417
SAN MIGUEL,14
SAN PABLO,6
SAN ROMAN,352
SANCHEZ CARRION,35
SANDIA,13
SANTA,1224
SANTA CRUZ,16
SANTIAGO DE CHUCO,23
SATIPO,79
SECHURA,117
SIHUAS,9
SUCRE,2
SULLANA,774
TACNA,522
TAHUAMANU,20
TALARA,321
TAMBOPATA,289
TARATA,7
TARMA,89
TAYACAJA,33
TOCACHE,67
TRUJILLO,2011
TUMBES,339
UCAYALI,55
URUBAMBA,29
UTCUBAMBA,86
VICTOR FAJARDO,13
VILCAS HUAMAN,1
VIRU,155
YAROWILCA,9
YAULI,55
YAUYOS,17
YUNGAY,22
YUNGUYO,26
ZARUMILLA,83
